source,target,type,weight
POL SCI 123Y,POL SCI 123Y,directed,3
POL SCI 124A,POL SCI 124A,directed,3
POL SCI 124B,POL SCI 124B,directed,3
POL SCI 124C,POL SCI 124C,directed,3
POL SCI 124M,POL SCI 124M,directed,3
POL SCI 125,POL SCI 125,directed,3
POL SCI 126A,POL SCI 126A,directed,3
POL SCI 128,POL SCI 128,directed,3
POL SCI 128A,POL SCI 128A,directed,3
POL SCI C131A,POL SCI C131A,directed,3
POL SCI 133,POL SCI 133,directed,3
POL SCI C135,POL SCI C135,directed,3
POL SCI W135,POL SCI W135,directed,3
POL SCI 137A,POL SCI 137A,directed,3
POL SCI 138E,POL SCI 138E,directed,3
POL SCI 138F,POL SCI 138F,directed,3
POL SCI 138G,POL SCI 138G,directed,3
POL SCI 139B,POL SCI 139B,directed,3
POL SCI 139D,POL SCI 139D,directed,3
POL SCI C139,POL SCI C139,directed,3
POL SCI 140E,POL SCI 140E,directed,3
POL SCI 140F,POL SCI 140F,directed,3
POL SCI 140L,POL SCI 140L,directed,3
POL SCI 140M,POL SCI 140M,directed,3
POL SCI 140R,POL SCI 140R,directed,3
POL SCI 140S,POL SCI 140S,directed,3
POL SCI 140W,POL SCI 140W,directed,3
POL SCI 140Z,POL SCI 140Z,directed,3
POL SCI 141A,POL SCI 141A,directed,3
POL SCI 141C,POL SCI 141C,directed,3
POL SCI 142A,POL SCI 142A,directed,3
POL SCI 143A,POL SCI 143A,directed,3
POL SCI 143B,POL SCI 143B,directed,3
POL SCI 143C,POL SCI 143C,directed,3
POL SCI 143E,POL SCI 143E,directed,3
POL SCI 143T,POL SCI 143T,directed,3
POL SCI 144,POL SCI 144,directed,3
POL SCI 144B,POL SCI 144B,directed,3
POL SCI 145A,POL SCI 145A,directed,3
POL SCI 145B,POL SCI 145B,directed,3
POL SCI W145A,POL SCI W145A,directed,3
POL SCI 146A,POL SCI 146A,directed,3
POL SCI 146D,POL SCI 146D,directed,3
POL SCI N146C,POL SCI N146C,directed,3
POL SCI 147F,POL SCI 147F,directed,3
POL SCI 147G,POL SCI 147G,directed,3
POL SCI 147T,POL SCI 147T,directed,3
POL SCI 148A,POL SCI 148A,directed,3
POL SCI 149,POL SCI 149,directed,3
POL SCI 149B,POL SCI 149B,directed,3
POL SCI 149E,POL SCI 149E,directed,3
POL SCI 149F,POL SCI 149F,directed,3
POL SCI 149I,POL SCI 149I,directed,3
POL SCI 149K,POL SCI 149K,directed,3
POL SCI 149M,POL SCI 149M,directed,3
POL SCI 149N,POL SCI 149N,directed,3
POL SCI 149P,POL SCI 149P,directed,3
POL SCI 149R,POL SCI 149R,directed,3
POL SCI 149S,POL SCI 149S,directed,3
POL SCI 149W,POL SCI 149W,directed,3
POL SCI 150,POL SCI 150,directed,3
POL SCI 152A,POL SCI 152A,directed,3
POL SCI 157A,POL SCI 157A,directed,3
POL SCI 157B,POL SCI 157B,directed,3
POL SCI 161,POL SCI 161,directed,3
POL SCI 164A,POL SCI 164A,directed,3
POL SCI N164A,POL SCI N164A,directed,3
POL SCI 166,POL SCI 166,directed,3
POL SCI 167,POL SCI 167,directed,3
POL SCI 167AC,POL SCI 167AC,directed,3
POL SCI 169,POL SCI 169,directed,3
POL SCI 171,POL SCI 171,directed,3
POL SCI 173S,POL SCI 173S,directed,3
POL SCI 175A,POL SCI 175A,directed,3
POL SCI 179,POL SCI 179,directed,3
POL SCI 181,POL SCI 181,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 186,POL SCI 186,directed,3
POL SCI H190A,POL SCI H190A,directed,3
POL SCI H190B,POL SCI H190B,directed,3
POL SCI 191,POL SCI 191,directed,3
POL SCI 196,POL SCI 196,directed,3
POL SCI 196S,POL SCI 196S,directed,3
POL SCI 196W,POL SCI 196W,directed,3
POL SCI C196A,POL SCI C196A,directed,3
POL SCI C196B,POL SCI C196B,directed,3
POL SCI C196W,POL SCI C196W,directed,3
POL SCI 197,POL SCI 197,directed,3
POL SCI 198,POL SCI 198,directed,3
POL SCI 199,POL SCI 199,directed,3
POL SCI 1,POL SCI 1,directed,3
POL SCI N1AC,POL SCI N1AC,directed,3
POL SCI 2,POL SCI 2,directed,3
POL SCI N2,POL SCI N2,directed,3
POL SCI 3,POL SCI 3,directed,3
POL SCI N3,POL SCI N3,directed,3
POL SCI W3,POL SCI W3,directed,3
POL SCI 4,POL SCI 4,directed,3
POL SCI 5,POL SCI 5,directed,3
POL SCI 18AC,POL SCI 18AC,directed,3
POL SCI 39B,POL SCI 39B,directed,3
POL SCI 41,POL SCI 41,directed,3
POL SCI C79,POL SCI C79,directed,3
POL SCI 98,POL SCI 98,directed,3
POL SCI 99,POL SCI 99,directed,3
POL SCI 102,POL SCI 102,directed,3
POL SCI 103,POL SCI 103,directed,3
POL SCI 103W,POL SCI 103W,directed,3
POL SCI 104,POL SCI 104,directed,3
POL SCI 105,POL SCI 105,directed,3
POL SCI 106A,POL SCI 106A,directed,3
POL SCI 109,POL SCI 109,directed,3
POL SCI 109A,POL SCI 109A,directed,3
POL SCI 109B,POL SCI 109B,directed,3
POL SCI 109D,POL SCI 109D,directed,3
POL SCI 109G,POL SCI 109G,directed,3
POL SCI 109H,POL SCI 109H,directed,3
POL SCI 109L,POL SCI 109L,directed,3
POL SCI 109M,POL SCI 109M,directed,3
POL SCI 109P,POL SCI 109P,directed,3
POL SCI 109R,POL SCI 109R,directed,3
POL SCI 109S,POL SCI 109S,directed,3
POL SCI 109W,POL SCI 109W,directed,3
POL SCI 109Z,POL SCI 109Z,directed,3
POL SCI 110B,POL SCI 110B,directed,3
POL SCI 111AC,POL SCI 111AC,directed,3
POL SCI 112A,POL SCI 112A,directed,3
POL SCI 112B,POL SCI 112B,directed,3
POL SCI 112C,POL SCI 112C,directed,3
POL SCI 112D,POL SCI 112D,directed,3
POL SCI N112A,POL SCI N112A,directed,3
POL SCI N113A,POL SCI N113A,directed,3
POL SCI 114A,POL SCI 114A,directed,3
POL SCI 116,POL SCI 116,directed,3
POL SCI 116A,POL SCI 116A,directed,3
POL SCI 116B,POL SCI 116B,directed,3
POL SCI 116C,POL SCI 116C,directed,3
POL SCI 116D,POL SCI 116D,directed,3
POL SCI 116E,POL SCI 116E,directed,3
POL SCI 116F,POL SCI 116F,directed,3
POL SCI 116G,POL SCI 116G,directed,3
POL SCI 116H,POL SCI 116H,directed,3
POL SCI 116I,POL SCI 116I,directed,3
POL SCI 116J,POL SCI 116J,directed,3
POL SCI 116K,POL SCI 116K,directed,3
POL SCI 116L,POL SCI 116L,directed,3
POL SCI 116M,POL SCI 116M,directed,3
POL SCI 116N,POL SCI 116N,directed,3
POL SCI 116O,POL SCI 116O,directed,3
POL SCI 116P,POL SCI 116P,directed,3
POL SCI 116Q,POL SCI 116Q,directed,3
POL SCI 116R,POL SCI 116R,directed,3
POL SCI 116S,POL SCI 116S,directed,3
POL SCI 116T,POL SCI 116T,directed,3
POL SCI 116U,POL SCI 116U,directed,3
POL SCI 116V,POL SCI 116V,directed,3
POL SCI 116W,POL SCI 116W,directed,3
POL SCI 116X,POL SCI 116X,directed,3
POL SCI 116Y,POL SCI 116Y,directed,3
POL SCI 116Z,POL SCI 116Z,directed,3
POL SCI 117,POL SCI 117,directed,3
POL SCI 118AC,POL SCI 118AC,directed,3
POL SCI 122A,POL SCI 122A,directed,3
POL SCI 123,POL SCI 123,directed,3
POL SCI 123A,POL SCI 123A,directed,3
POL SCI 123C,POL SCI 123C,directed,3
POL SCI 123F,POL SCI 123F,directed,3
POL SCI 123G,POL SCI 123G,directed,3
POL SCI 123H,POL SCI 123H,directed,3
POL SCI 123J,POL SCI 123J,directed,3
POL SCI 123L,POL SCI 123L,directed,3
POL SCI 123M,POL SCI 123M,directed,3
POL SCI 123S,POL SCI 123S,directed,3
POL SCI 123W,POL SCI 123W,directed,3
POL SCI 123Y,POL SCI 123Y,directed,3
POL SCI 124A,POL SCI 124A,directed,3
POL SCI 124B,POL SCI 124B,directed,3
POL SCI 124C,POL SCI 124C,directed,3
POL SCI 124M,POL SCI 124M,directed,3
POL SCI 125,POL SCI 125,directed,3
POL SCI 126A,POL SCI 126A,directed,3
POL SCI 128,POL SCI 128,directed,3
POL SCI 128A,POL SCI 128A,directed,3
POL SCI C131A,POL SCI C131A,directed,3
POL SCI 133,POL SCI 133,directed,3
POL SCI C135,POL SCI C135,directed,3
POL SCI W135,POL SCI W135,directed,3
POL SCI 137A,POL SCI 137A,directed,3
POL SCI 138E,POL SCI 138E,directed,3
POL SCI 138F,POL SCI 138F,directed,3
POL SCI 138G,POL SCI 138G,directed,3
POL SCI 139B,POL SCI 139B,directed,3
POL SCI 139D,POL SCI 139D,directed,3
POL SCI C139,POL SCI C139,directed,3
POL SCI 140E,POL SCI 140E,directed,3
POL SCI 140F,POL SCI 140F,directed,3
POL SCI 140L,POL SCI 140L,directed,3
POL SCI 140M,POL SCI 140M,directed,3
POL SCI 140R,POL SCI 140R,directed,3
POL SCI 140S,POL SCI 140S,directed,3
POL SCI 140W,POL SCI 140W,directed,3
POL SCI 140Z,POL SCI 140Z,directed,3
POL SCI 141A,POL SCI 141A,directed,3
POL SCI 141C,POL SCI 141C,directed,3
POL SCI 142A,POL SCI 142A,directed,3
POL SCI 143A,POL SCI 143A,directed,3
POL SCI 143B,POL SCI 143B,directed,3
POL SCI 143C,POL SCI 143C,directed,3
POL SCI 143E,POL SCI 143E,directed,3
POL SCI 143T,POL SCI 143T,directed,3
POL SCI 144,POL SCI 144,directed,3
POL SCI 144B,POL SCI 144B,directed,3
POL SCI 145A,POL SCI 145A,directed,3
POL SCI 145B,POL SCI 145B,directed,3
POL SCI W145A,POL SCI W145A,directed,3
POL SCI 146A,POL SCI 146A,directed,3
POL SCI 146D,POL SCI 146D,directed,3
POL SCI N146C,POL SCI N146C,directed,3
POL SCI 147F,POL SCI 147F,directed,3
POL SCI 147G,POL SCI 147G,directed,3
POL SCI 147T,POL SCI 147T,directed,3
POL SCI 148A,POL SCI 148A,directed,3
POL SCI 149,POL SCI 149,directed,3
POL SCI 149B,POL SCI 149B,directed,3
POL SCI 149E,POL SCI 149E,directed,3
POL SCI 149F,POL SCI 149F,directed,3
POL SCI 149I,POL SCI 149I,directed,3
POL SCI 149K,POL SCI 149K,directed,3
POL SCI 149M,POL SCI 149M,directed,3
POL SCI 149N,POL SCI 149N,directed,3
POL SCI 149P,POL SCI 149P,directed,3
POL SCI 149R,POL SCI 149R,directed,3
POL SCI 149S,POL SCI 149S,directed,3
POL SCI 149W,POL SCI 149W,directed,3
POL SCI 150,POL SCI 150,directed,3
POL SCI 152A,POL SCI 152A,directed,3
POL SCI 157A,POL SCI 157A,directed,3
POL SCI 157B,POL SCI 157B,directed,3
POL SCI 161,POL SCI 161,directed,3
POL SCI 164A,POL SCI 164A,directed,3
POL SCI N164A,POL SCI N164A,directed,3
POL SCI 166,POL SCI 166,directed,3
POL SCI 167,POL SCI 167,directed,3
POL SCI 167AC,POL SCI 167AC,directed,3
POL SCI 169,POL SCI 169,directed,3
POL SCI 171,POL SCI 171,directed,3
POL SCI 173S,POL SCI 173S,directed,3
POL SCI 175A,POL SCI 175A,directed,3
POL SCI 179,POL SCI 179,directed,3
POL SCI 181,POL SCI 181,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 182AC,POL SCI 182AC,directed,3
POL SCI 186,POL SCI 186,directed,3
POL SCI H190A,POL SCI H190A,directed,3
POL SCI H190B,POL SCI H190B,directed,3
POL SCI 191,POL SCI 191,directed,3
POL SCI 196,POL SCI 196,directed,3
POL SCI 196S,POL SCI 196S,directed,3
POL SCI 196W,POL SCI 196W,directed,3
POL SCI C196A,POL SCI C196A,directed,3
POL SCI C196B,POL SCI C196B,directed,3
POL SCI C196W,POL SCI C196W,directed,3
POL SCI 197,POL SCI 197,directed,3
POL SCI 198,POL SCI 198,directed,3
POL SCI 199,POL SCI 199,directed,3
