name,size,about
EPS C129,1,"This course describes how the physical environment (light, wind, temperature, h..."
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS 131,1,Chemical reactions in geological processes. Thermodynamic methods for predictin...
EPS C146,1,"The tectonics and morphology of the sea floor, the geologic processes in the de..."
EPS 150,1,Analysis and discussion of three research problems on the interactions of solid...
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
EPS 3,1,An overview of the processes that control water supply to natural ecosystems an...
EPS 7,1,"This course covers the physical processes that determine Earth's past, present,..."
EPS 10,1,A science-based course on the most significant eruptions Earth has produced. Mo...
EPS C12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS W12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS 20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS C20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS 24,1,The freshman seminar in earth and planetary science is designed to provide new ...
EPS 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 80,1,This course focuses on the processes on and in the earth that shape the environ...
EPS 81,1,"An introductory survey of the atmospheres of Earth and other planets, spanning ..."
EPS N82,1,"The geology, physics, chemistry, and biology of the world oceans. The applicati..."
EPS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
EPS 88,1,Earthquakes and El Ninos are examples of natural hazards in California. The cou...
EPS 98,1,Group studies of selected topics which vary from semester to semester....
EPS C100,1,For undergraduates interested in improving their ability to communicate their s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 108,1,Basic principles in studying the physical properties of earth materials and the...
EPS 109,1,Introduction to modern computer simulation methods and their application to sel...
EPS 111,1,"Basin development related to plate tectonics. Origin of petroleum: quality, qua..."
EPS 113,1,We will survey the biological oceanography underlying geochemical transformatio...
EPS 115,1,"Collecting, analyzing, and presenting stratigraphic data; dating and correlatin..."
EPS 117,1,"Quantitative examination of landforms, runoff generation, weathering, mechanics..."
EPS 122,1,"Gravity field, density distribution, and internal seismic structure of the Eart..."
EPS 124,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 125,1,This course provides an introduction to the principles of stable isotope geoche...
EPS C129,1,"This course describes how the physical environment (light, wind, temperature, h..."
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS 131,1,Chemical reactions in geological processes. Thermodynamic methods for predictin...
EPS C146,1,"The tectonics and morphology of the sea floor, the geologic processes in the de..."
EPS 150,1,Analysis and discussion of three research problems on the interactions of solid...
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
EPS 3,1,An overview of the processes that control water supply to natural ecosystems an...
EPS 7,1,"This course covers the physical processes that determine Earth's past, present,..."
EPS 10,1,A science-based course on the most significant eruptions Earth has produced. Mo...
EPS C12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS W12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS 20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS C20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS 24,1,The freshman seminar in earth and planetary science is designed to provide new ...
EPS 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 80,1,This course focuses on the processes on and in the earth that shape the environ...
EPS 81,1,"An introductory survey of the atmospheres of Earth and other planets, spanning ..."
EPS N82,1,"The geology, physics, chemistry, and biology of the world oceans. The applicati..."
EPS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
EPS 88,1,Earthquakes and El Ninos are examples of natural hazards in California. The cou...
EPS 98,1,Group studies of selected topics which vary from semester to semester....
EPS C100,1,For undergraduates interested in improving their ability to communicate their s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 108,1,Basic principles in studying the physical properties of earth materials and the...
EPS 109,1,Introduction to modern computer simulation methods and their application to sel...
EPS 111,1,"Basin development related to plate tectonics. Origin of petroleum: quality, qua..."
EPS 113,1,We will survey the biological oceanography underlying geochemical transformatio...
EPS 115,1,"Collecting, analyzing, and presenting stratigraphic data; dating and correlatin..."
EPS 117,1,"Quantitative examination of landforms, runoff generation, weathering, mechanics..."
EPS 122,1,"Gravity field, density distribution, and internal seismic structure of the Eart..."
EPS 124,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 125,1,This course provides an introduction to the principles of stable isotope geoche...
EPS C129,1,"This course describes how the physical environment (light, wind, temperature, h..."
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS 131,1,Chemical reactions in geological processes. Thermodynamic methods for predictin...
EPS C146,1,"The tectonics and morphology of the sea floor, the geologic processes in the de..."
EPS 150,1,Analysis and discussion of three research problems on the interactions of solid...
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
EPS 3,1,An overview of the processes that control water supply to natural ecosystems an...
EPS 7,1,"This course covers the physical processes that determine Earth's past, present,..."
EPS 10,1,A science-based course on the most significant eruptions Earth has produced. Mo...
EPS C12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS W12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS 20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS C20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS 24,1,The freshman seminar in earth and planetary science is designed to provide new ...
EPS 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 80,1,This course focuses on the processes on and in the earth that shape the environ...
EPS 81,1,"An introductory survey of the atmospheres of Earth and other planets, spanning ..."
EPS N82,1,"The geology, physics, chemistry, and biology of the world oceans. The applicati..."
EPS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
EPS 88,1,Earthquakes and El Ninos are examples of natural hazards in California. The cou...
EPS 98,1,Group studies of selected topics which vary from semester to semester....
EPS C100,1,For undergraduates interested in improving their ability to communicate their s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 108,1,Basic principles in studying the physical properties of earth materials and the...
EPS 109,1,Introduction to modern computer simulation methods and their application to sel...
EPS 111,1,"Basin development related to plate tectonics. Origin of petroleum: quality, qua..."
EPS 113,1,We will survey the biological oceanography underlying geochemical transformatio...
EPS 115,1,"Collecting, analyzing, and presenting stratigraphic data; dating and correlatin..."
EPS 117,1,"Quantitative examination of landforms, runoff generation, weathering, mechanics..."
EPS 122,1,"Gravity field, density distribution, and internal seismic structure of the Eart..."
EPS 124,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 125,1,This course provides an introduction to the principles of stable isotope geoche...
EPS C129,1,"This course describes how the physical environment (light, wind, temperature, h..."
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS 131,1,Chemical reactions in geological processes. Thermodynamic methods for predictin...
EPS C146,1,"The tectonics and morphology of the sea floor, the geologic processes in the de..."
EPS 150,1,Analysis and discussion of three research problems on the interactions of solid...
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
