name,size,about
NUC ENG 180,1,Introduction to energy production by controlled thermonuclear reactions. Nuclea...
NUC ENG H194,1,Supervised research. Students who have completed three or more upper division c...
NUC ENG 198,1,Group studies of selected topics....
NUC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
NUC ENG S199,1,Supervised independent study. Please see section of the for description and pre...
MEC ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
MEC ENG 40,1,This course introduces the scientific principles that deal with energy conversi...
MEC ENG C85,1,A review of equilibrium for particles and rigid bodies. Application to truss st...
MEC ENG W85,1,A review of equilibrium for particles and rigid bodies. Application to truss st...
MEC ENG 98,1,Organized group study on various topics under the sponsorship and direction of ...
MEC ENG 100,1,Electronics and Electrical Engineering has become pervasive in our lives as a p...
MEC ENG 101,1,Fundamentals of lean manufacturing systems including manufacturing fundamentals...
MEC ENG 102B,1,Introduction to design and realization of mechatronics systems. Micro computer ...
MEC ENG 103,1,This course introduces students to modern experimental techniques for mechanica...
MEC ENG 104,1,This course is an introduction to the dynamics of particles and rigid bodies. T...
MEC ENG 106,1,This course introduces the fundamentals and techniques of fluid mechanics with ...
MEC ENG 108,1,This course covers elastic and plastic deformation under static and dynamic loa...
MEC ENG 109,1,"This course covers transport processes of mass, momentum, and energy from a mac..."
MEC ENG 110,1,The course provides project-based learning experience in innovative new product...
MEC ENG C115,1,This course applies methods of statistical continuum mechanics to subcellar bio...
MEC ENG C117,1,This course covers the structure and mechanical functions of load bearing tissu...
MEC ENG 118,1,This course introduces engineering students (juniors and seniors) to the field ...
MEC ENG 119,1,"Fundamentals of microelectromechanical systems including design, fabrication of..."
MEC ENG 120,1,This course applies the methods of computational modeling and continuum mechani...
MEC ENG 122,1,"Fundamentals of manufacturing processes (metal forming, forging, metal cutting,..."
MEC ENG 125,1,iACME provide opportunities for Mechanical Engineering undergraduates to tackle...
MEC ENG 130,1,"Synthesis, analysis, and design of planar machines. Kinematic structure, graphi..."
MEC ENG 131,1,"Physical understanding of automotive vehicle dynamics including simple lateral,..."
MEC ENG 132,1,Physical understanding of dynamics and feedback. Linear feedback control of dyn...
MEC ENG 133,1,An introduction to the theory of mechanical vibrations including topics of harm...
MEC ENG C134,1,Analysis and synthesis of linear feedback control systems in transform and time...
MEC ENG 135,1,This course provides preparation for the conceptual design and prototyping of m...
MEC ENG 136,1,This course introduces students to the control of unmanned aerial vehicles (UAV...
MEC ENG 138,1,This hands-on laboratory course focuses on the mechanical engineering principle...
MEC ENG 140,1,"Fundamentals of combustion, flame structure, flame speed, flammability, ignitio..."
MEC ENG 146,1,"This course covers the fundamental principles of energy conversion processes, f..."
MEC ENG 150A,1,"This course addresses all aspects of design, analysis, construction and economi..."
MEC ENG 151,1,Basic principles of heat transfer and their application. Subject areas include ...
MEC ENG 151A,1,Fundamentals of conductive heat transfer. Analytical and numerical methods for ...
MEC ENG 151B,1,The transport of heat and mass in fluids in motion; free and forced convection ...
MEC ENG 153,1,"Fundamentals of electromagnetic theory, principles of optics, waves, diffractio..."
MEC ENG 154,1,Development of classical thermodynamics from statistical treatment of microscal...
MEC ENG 160,1,"Lectures on new developments in ocean, offshore, and arctic engineering...."
MEC ENG 163,1,"Introduction to the lift, drag, and moment of two-dimensional airfoils, three-d..."
MEC ENG 164,1,"Terminology and definition of hull forms, conditions of static equilibrium and ..."
MEC ENG 165,1,Ocean environment. Physical properties and characteristics of the oceans. Globa...
MEC ENG 167,1,"Phenomena of physical, technological, and biological significance in flows of g..."
MEC ENG 168,1,This course covers major aspects of offshore engineering including ocean enviro...
MEC ENG 170,1,"This course builds upon material learned in 104, examining the dynamics of part..."
MEC ENG 173,1,Plane and spherical sound waves. Sound intensity. Propagation in tubes and horn...
MEC ENG 174,1,Oscillations in nonlinear systems having one or two degrees of freedom. Graphic...
MEC ENG 175,1,This course introduces and investigates Lagrange's equations of motion for part...
MEC ENG C176,1,"Statics, dynamics, optimization theory, composite beam theory, beam-on-elastic ..."
MEC ENG C178,1,The course provides project-based learning experience in understanding product ...
MEC ENG 179,1,This course provides hands-on experience in designing prostheses and assistive ...
MEC ENG C180,1,This is an introductory course on the finite element method and is intended for...
MEC ENG 185,1,This course is a general introduction to the fundamental concepts of the mechan...
MEC ENG 190L,1,"After a review of basic loopshaping, we introduce the loopshaping design method..."
MEC ENG 190M,1,Basics on optimization and polyhedra manipulation. Analysis and design of const...
MEC ENG 190Y,1,The Youla-parametrization of all stabilizing controllers allows certain time-do...
MEC ENG 191K,1,This course is designed to enhance students' written and oral communication ski...
MEC ENG 193A,1,This 193 series covers current topics of research interest in biomechanical eng...
MEC ENG 193B,1,This 193 series covers current topics of research interest in controls. The cou...
MEC ENG 193C,1,This 193 series covers current topics of research interest in design. The cours...
MEC ENG 193D,1,This 193 series covers current topics of research interest in dynamics. The cou...
MEC ENG 193E,1,This 193 series covers current topics of research interest in energy science an...
MEC ENG 193F,1,This 193 series covers current topics of research interest in fluids. The cours...
MEC ENG 193G,1,This 193 series covers current topics of research interest in manufacturing. Th...
MEC ENG 193H,1,This 193 series covers current topics of research interest in materials. The co...
MEC ENG 193I,1,This 193 series covers current topics of research interest in mechanics. The co...
MEC ENG 193J,1,This 193 series covers current topics of research interest in MEMS/nano. The co...
MEC ENG 193K,1,This 193 series covers current topics of research interest in ocean engineering...
MEC ENG H194,1,Final report required. Students who have completed a satisfactory number of adv...
MEC ENG 196,1,Students who have completed a satisfactory number of advanced courses may pursu...
MEC ENG 197,1,Supervised experience relative to specific aspects of practice in engineering. ...
MEC ENG 198,1,Group study of a selected topic or topics in Mechanical Engineering. Credit for...
MEC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the introducti...
NUC ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
NUC ENG 100,1,The class provides students with an overview of the contemporary nuclear energy...
NUC ENG 101,1,"Energetics and kinetics of nuclear reactions and radioactive decay, fission, fu..."
NUC ENG 102,1,Laboratory course in nuclear physics. Experiments will allow students to direct...
NUC ENG 104,1,"Basic science of radiation measurement, nuclear instrumentation, neutronics, ra..."
NUC ENG 107,1,"Introduction to medical imaging physics and systems, including x-ray computed t..."
NUC ENG 120,1,Effects of irradiation on the atomic and mechanical properties of materials in ...
NUC ENG 124,1,"Components and material flowsheets for nuclear fuel cycle, waste characteristic..."
NUC ENG 130,1,Use of nuclear measurement techniques to detect clandestine movement and/or pos...
NUC ENG 150,1,"Neutron interactions, nuclear fission, and chain reacting systematics in therma..."
NUC ENG 155,1,Computational methods used to analyze radiation transport described by various ...
NUC ENG 156,1,This course provides an introduction to the field of nuclear criticality safety...
NUC ENG 161,1,Energy conversion in nuclear power systems; design of fission reactors; thermal...
NUC ENG 162,1,"Interaction of radiation with matter; physical, chemical, and biological effect..."
NUC ENG 167,1,"Project-based class for design and licensing of nuclear facilities, including a..."
NUC ENG 170A,1,Design of various fission and fusion power systems and other physically based a...
NUC ENG 170B,1,A systems approach to the development of procedures for nuclear medicine and ra...
NUC ENG 175,1,Methodological approaches for the quantification of technological risk and risk...
NUC ENG 180,1,Introduction to energy production by controlled thermonuclear reactions. Nuclea...
NUC ENG H194,1,Supervised research. Students who have completed three or more upper division c...
NUC ENG 198,1,Group studies of selected topics....
NUC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
NUC ENG S199,1,Supervised independent study. Please see section of the for description and pre...
