source,target,type,weight
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG 230,NUC ENG 230,directed,3
NUC ENG 250,NUC ENG 250,directed,3
NUC ENG 255,NUC ENG 255,directed,3
NUC ENG 256M,NUC ENG 256M,directed,3
NUC ENG 260,NUC ENG 260,directed,3
NUC ENG 261M,NUC ENG 261M,directed,3
NUC ENG 262,NUC ENG 262,directed,3
NUC ENG 265,NUC ENG 265,directed,3
NUC ENG 267,NUC ENG 267,directed,3
NUC ENG 270,NUC ENG 270,directed,3
NUC ENG 275,NUC ENG 275,directed,3
NUC ENG 280,NUC ENG 280,directed,3
NUC ENG 281,NUC ENG 281,directed,3
NUC ENG C282,NUC ENG C282,directed,3
NUC ENG C285,NUC ENG C285,directed,3
NUC ENG 290A,NUC ENG 290A,directed,3
NUC ENG 290B,NUC ENG 290B,directed,3
NUC ENG 290C,NUC ENG 290C,directed,3
NUC ENG 290D,NUC ENG 290D,directed,3
NUC ENG 290E,NUC ENG 290E,directed,3
NUC ENG 290F,NUC ENG 290F,directed,3
NUC ENG 295,NUC ENG 295,directed,3
NUC ENG 298,NUC ENG 298,directed,3
NUC ENG 299,NUC ENG 299,directed,3
NUC ENG N299,NUC ENG N299,directed,3
NUC ENG 375,NUC ENG 375,directed,3
NUC ENG 602,NUC ENG 602,directed,3
EL ENG 24,EL ENG 24,directed,3
EL ENG 25,EL ENG 25,directed,3
EL ENG 39,EL ENG 39,directed,3
EL ENG 42,EL ENG 42,directed,3
EL ENG 49,EL ENG 49,directed,3
EL ENG 84,EL ENG 84,directed,3
EL ENG 97,EL ENG 97,directed,3
EL ENG 98,EL ENG 98,directed,3
EL ENG 99,EL ENG 99,directed,3
EL ENG 105,EL ENG 105,directed,3
EL ENG C106A,EL ENG C106A,directed,3
EL ENG C106B,EL ENG C106B,directed,3
EL ENG 113,EL ENG 113,directed,3
EL ENG 117,EL ENG 117,directed,3
EL ENG 118,EL ENG 118,directed,3
EL ENG 120,EL ENG 120,directed,3
EL ENG 121,EL ENG 121,directed,3
EL ENG 122,EL ENG 122,directed,3
EL ENG 123,EL ENG 123,directed,3
EL ENG 126,EL ENG 126,directed,3
EL ENG C128,EL ENG C128,directed,3
EL ENG 130,EL ENG 130,directed,3
EL ENG 134,EL ENG 134,directed,3
EL ENG 137A,EL ENG 137A,directed,3
EL ENG 137B,EL ENG 137B,directed,3
EL ENG 140,EL ENG 140,directed,3
EL ENG 142,EL ENG 142,directed,3
EL ENG 143,EL ENG 143,directed,3
EL ENG 144,EL ENG 144,directed,3
EL ENG C145B,EL ENG C145B,directed,3
EL ENG C145L,EL ENG C145L,directed,3
EL ENG C145M,EL ENG C145M,directed,3
EL ENG C145O,EL ENG C145O,directed,3
EL ENG 146L,EL ENG 146L,directed,3
EL ENG 147,EL ENG 147,directed,3
EL ENG 192,EL ENG 192,directed,3
EL ENG 194,EL ENG 194,directed,3
EL ENG H196A,EL ENG H196A,directed,3
EL ENG H196B,EL ENG H196B,directed,3
EL ENG 197,EL ENG 197,directed,3
EL ENG 198,EL ENG 198,directed,3
EL ENG 199,EL ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 200M,NUC ENG 200M,directed,3
NUC ENG 201,NUC ENG 201,directed,3
NUC ENG 204,NUC ENG 204,directed,3
NUC ENG 210M,NUC ENG 210M,directed,3
NUC ENG 215M,NUC ENG 215M,directed,3
NUC ENG 220,NUC ENG 220,directed,3
NUC ENG 220M,NUC ENG 220M,directed,3
NUC ENG 221,NUC ENG 221,directed,3
NUC ENG 224,NUC ENG 224,directed,3
NUC ENG 225,NUC ENG 225,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG 230,NUC ENG 230,directed,3
NUC ENG 250,NUC ENG 250,directed,3
NUC ENG 255,NUC ENG 255,directed,3
NUC ENG 256M,NUC ENG 256M,directed,3
NUC ENG 260,NUC ENG 260,directed,3
NUC ENG 261M,NUC ENG 261M,directed,3
NUC ENG 262,NUC ENG 262,directed,3
NUC ENG 265,NUC ENG 265,directed,3
NUC ENG 267,NUC ENG 267,directed,3
NUC ENG 270,NUC ENG 270,directed,3
NUC ENG 275,NUC ENG 275,directed,3
NUC ENG 280,NUC ENG 280,directed,3
NUC ENG 281,NUC ENG 281,directed,3
NUC ENG C282,NUC ENG C282,directed,3
NUC ENG C285,NUC ENG C285,directed,3
NUC ENG 290A,NUC ENG 290A,directed,3
NUC ENG 290B,NUC ENG 290B,directed,3
NUC ENG 290C,NUC ENG 290C,directed,3
NUC ENG 290D,NUC ENG 290D,directed,3
NUC ENG 290E,NUC ENG 290E,directed,3
NUC ENG 290F,NUC ENG 290F,directed,3
NUC ENG 295,NUC ENG 295,directed,3
NUC ENG 298,NUC ENG 298,directed,3
NUC ENG 299,NUC ENG 299,directed,3
NUC ENG N299,NUC ENG N299,directed,3
NUC ENG 375,NUC ENG 375,directed,3
NUC ENG 602,NUC ENG 602,directed,3
EL ENG 24,EL ENG 24,directed,3
EL ENG 25,EL ENG 25,directed,3
EL ENG 39,EL ENG 39,directed,3
EL ENG 42,EL ENG 42,directed,3
EL ENG 49,EL ENG 49,directed,3
EL ENG 84,EL ENG 84,directed,3
EL ENG 97,EL ENG 97,directed,3
EL ENG 98,EL ENG 98,directed,3
EL ENG 99,EL ENG 99,directed,3
EL ENG 105,EL ENG 105,directed,3
EL ENG C106A,EL ENG C106A,directed,3
EL ENG C106B,EL ENG C106B,directed,3
EL ENG 113,EL ENG 113,directed,3
EL ENG 117,EL ENG 117,directed,3
EL ENG 118,EL ENG 118,directed,3
EL ENG 120,EL ENG 120,directed,3
EL ENG 121,EL ENG 121,directed,3
EL ENG 122,EL ENG 122,directed,3
EL ENG 123,EL ENG 123,directed,3
EL ENG 126,EL ENG 126,directed,3
EL ENG C128,EL ENG C128,directed,3
EL ENG 130,EL ENG 130,directed,3
EL ENG 134,EL ENG 134,directed,3
EL ENG 137A,EL ENG 137A,directed,3
EL ENG 137B,EL ENG 137B,directed,3
EL ENG 140,EL ENG 140,directed,3
EL ENG 142,EL ENG 142,directed,3
EL ENG 143,EL ENG 143,directed,3
EL ENG 144,EL ENG 144,directed,3
EL ENG C145B,EL ENG C145B,directed,3
EL ENG C145L,EL ENG C145L,directed,3
EL ENG C145M,EL ENG C145M,directed,3
EL ENG C145O,EL ENG C145O,directed,3
EL ENG 146L,EL ENG 146L,directed,3
EL ENG 147,EL ENG 147,directed,3
EL ENG 192,EL ENG 192,directed,3
EL ENG 194,EL ENG 194,directed,3
EL ENG H196A,EL ENG H196A,directed,3
EL ENG H196B,EL ENG H196B,directed,3
EL ENG 197,EL ENG 197,directed,3
EL ENG 198,EL ENG 198,directed,3
EL ENG 199,EL ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 200M,NUC ENG 200M,directed,3
NUC ENG 201,NUC ENG 201,directed,3
NUC ENG 204,NUC ENG 204,directed,3
NUC ENG 210M,NUC ENG 210M,directed,3
NUC ENG 215M,NUC ENG 215M,directed,3
NUC ENG 220,NUC ENG 220,directed,3
NUC ENG 220M,NUC ENG 220M,directed,3
NUC ENG 221,NUC ENG 221,directed,3
NUC ENG 224,NUC ENG 224,directed,3
NUC ENG 225,NUC ENG 225,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG 230,NUC ENG 230,directed,3
NUC ENG 250,NUC ENG 250,directed,3
NUC ENG 255,NUC ENG 255,directed,3
NUC ENG 256M,NUC ENG 256M,directed,3
NUC ENG 260,NUC ENG 260,directed,3
NUC ENG 261M,NUC ENG 261M,directed,3
NUC ENG 262,NUC ENG 262,directed,3
NUC ENG 265,NUC ENG 265,directed,3
NUC ENG 267,NUC ENG 267,directed,3
NUC ENG 270,NUC ENG 270,directed,3
NUC ENG 275,NUC ENG 275,directed,3
NUC ENG 280,NUC ENG 280,directed,3
NUC ENG 281,NUC ENG 281,directed,3
NUC ENG C282,NUC ENG C282,directed,3
NUC ENG C285,NUC ENG C285,directed,3
NUC ENG 290A,NUC ENG 290A,directed,3
NUC ENG 290B,NUC ENG 290B,directed,3
NUC ENG 290C,NUC ENG 290C,directed,3
NUC ENG 290D,NUC ENG 290D,directed,3
NUC ENG 290E,NUC ENG 290E,directed,3
NUC ENG 290F,NUC ENG 290F,directed,3
NUC ENG 295,NUC ENG 295,directed,3
NUC ENG 298,NUC ENG 298,directed,3
NUC ENG 299,NUC ENG 299,directed,3
NUC ENG N299,NUC ENG N299,directed,3
NUC ENG 375,NUC ENG 375,directed,3
NUC ENG 602,NUC ENG 602,directed,3
EL ENG 24,EL ENG 24,directed,3
EL ENG 25,EL ENG 25,directed,3
EL ENG 39,EL ENG 39,directed,3
EL ENG 42,EL ENG 42,directed,3
EL ENG 49,EL ENG 49,directed,3
EL ENG 84,EL ENG 84,directed,3
EL ENG 97,EL ENG 97,directed,3
EL ENG 98,EL ENG 98,directed,3
EL ENG 99,EL ENG 99,directed,3
EL ENG 105,EL ENG 105,directed,3
EL ENG C106A,EL ENG C106A,directed,3
EL ENG C106B,EL ENG C106B,directed,3
EL ENG 113,EL ENG 113,directed,3
EL ENG 117,EL ENG 117,directed,3
EL ENG 118,EL ENG 118,directed,3
EL ENG 120,EL ENG 120,directed,3
EL ENG 121,EL ENG 121,directed,3
EL ENG 122,EL ENG 122,directed,3
EL ENG 123,EL ENG 123,directed,3
EL ENG 126,EL ENG 126,directed,3
EL ENG C128,EL ENG C128,directed,3
EL ENG 130,EL ENG 130,directed,3
EL ENG 134,EL ENG 134,directed,3
EL ENG 137A,EL ENG 137A,directed,3
EL ENG 137B,EL ENG 137B,directed,3
EL ENG 140,EL ENG 140,directed,3
EL ENG 142,EL ENG 142,directed,3
EL ENG 143,EL ENG 143,directed,3
EL ENG 144,EL ENG 144,directed,3
EL ENG C145B,EL ENG C145B,directed,3
EL ENG C145L,EL ENG C145L,directed,3
EL ENG C145M,EL ENG C145M,directed,3
EL ENG C145O,EL ENG C145O,directed,3
EL ENG 146L,EL ENG 146L,directed,3
EL ENG 147,EL ENG 147,directed,3
EL ENG 192,EL ENG 192,directed,3
EL ENG 194,EL ENG 194,directed,3
EL ENG H196A,EL ENG H196A,directed,3
EL ENG H196B,EL ENG H196B,directed,3
EL ENG 197,EL ENG 197,directed,3
EL ENG 198,EL ENG 198,directed,3
EL ENG 199,EL ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 200M,NUC ENG 200M,directed,3
NUC ENG 201,NUC ENG 201,directed,3
NUC ENG 204,NUC ENG 204,directed,3
NUC ENG 210M,NUC ENG 210M,directed,3
NUC ENG 215M,NUC ENG 215M,directed,3
NUC ENG 220,NUC ENG 220,directed,3
NUC ENG 220M,NUC ENG 220M,directed,3
NUC ENG 221,NUC ENG 221,directed,3
NUC ENG 224,NUC ENG 224,directed,3
NUC ENG 225,NUC ENG 225,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG 230,NUC ENG 230,directed,3
NUC ENG 250,NUC ENG 250,directed,3
NUC ENG 255,NUC ENG 255,directed,3
NUC ENG 256M,NUC ENG 256M,directed,3
NUC ENG 260,NUC ENG 260,directed,3
NUC ENG 261M,NUC ENG 261M,directed,3
NUC ENG 262,NUC ENG 262,directed,3
NUC ENG 265,NUC ENG 265,directed,3
NUC ENG 267,NUC ENG 267,directed,3
NUC ENG 270,NUC ENG 270,directed,3
NUC ENG 275,NUC ENG 275,directed,3
NUC ENG 280,NUC ENG 280,directed,3
NUC ENG 281,NUC ENG 281,directed,3
NUC ENG C282,NUC ENG C282,directed,3
NUC ENG C285,NUC ENG C285,directed,3
NUC ENG 290A,NUC ENG 290A,directed,3
NUC ENG 290B,NUC ENG 290B,directed,3
NUC ENG 290C,NUC ENG 290C,directed,3
NUC ENG 290D,NUC ENG 290D,directed,3
NUC ENG 290E,NUC ENG 290E,directed,3
NUC ENG 290F,NUC ENG 290F,directed,3
NUC ENG 295,NUC ENG 295,directed,3
NUC ENG 298,NUC ENG 298,directed,3
NUC ENG 299,NUC ENG 299,directed,3
NUC ENG N299,NUC ENG N299,directed,3
NUC ENG 375,NUC ENG 375,directed,3
NUC ENG 602,NUC ENG 602,directed,3
EL ENG 24,EL ENG 24,directed,3
EL ENG 25,EL ENG 25,directed,3
EL ENG 39,EL ENG 39,directed,3
EL ENG 42,EL ENG 42,directed,3
EL ENG 49,EL ENG 49,directed,3
EL ENG 84,EL ENG 84,directed,3
EL ENG 97,EL ENG 97,directed,3
EL ENG 98,EL ENG 98,directed,3
EL ENG 99,EL ENG 99,directed,3
EL ENG 105,EL ENG 105,directed,3
EL ENG C106A,EL ENG C106A,directed,3
EL ENG C106B,EL ENG C106B,directed,3
EL ENG 113,EL ENG 113,directed,3
EL ENG 117,EL ENG 117,directed,3
EL ENG 118,EL ENG 118,directed,3
EL ENG 120,EL ENG 120,directed,3
EL ENG 121,EL ENG 121,directed,3
EL ENG 122,EL ENG 122,directed,3
EL ENG 123,EL ENG 123,directed,3
EL ENG 126,EL ENG 126,directed,3
EL ENG C128,EL ENG C128,directed,3
EL ENG 130,EL ENG 130,directed,3
EL ENG 134,EL ENG 134,directed,3
EL ENG 137A,EL ENG 137A,directed,3
EL ENG 137B,EL ENG 137B,directed,3
EL ENG 140,EL ENG 140,directed,3
EL ENG 142,EL ENG 142,directed,3
EL ENG 143,EL ENG 143,directed,3
EL ENG 144,EL ENG 144,directed,3
EL ENG C145B,EL ENG C145B,directed,3
EL ENG C145L,EL ENG C145L,directed,3
EL ENG C145M,EL ENG C145M,directed,3
EL ENG C145O,EL ENG C145O,directed,3
EL ENG 146L,EL ENG 146L,directed,3
EL ENG 147,EL ENG 147,directed,3
EL ENG 192,EL ENG 192,directed,3
EL ENG 194,EL ENG 194,directed,3
EL ENG H196A,EL ENG H196A,directed,3
EL ENG H196B,EL ENG H196B,directed,3
EL ENG 197,EL ENG 197,directed,3
EL ENG 198,EL ENG 198,directed,3
EL ENG 199,EL ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 200M,NUC ENG 200M,directed,3
NUC ENG 201,NUC ENG 201,directed,3
NUC ENG 204,NUC ENG 204,directed,3
NUC ENG 210M,NUC ENG 210M,directed,3
NUC ENG 215M,NUC ENG 215M,directed,3
NUC ENG 220,NUC ENG 220,directed,3
NUC ENG 220M,NUC ENG 220M,directed,3
NUC ENG 221,NUC ENG 221,directed,3
NUC ENG 224,NUC ENG 224,directed,3
NUC ENG 225,NUC ENG 225,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG C226,NUC ENG C226,directed,3
NUC ENG 230,NUC ENG 230,directed,3
NUC ENG 250,NUC ENG 250,directed,3
NUC ENG 255,NUC ENG 255,directed,3
NUC ENG 256M,NUC ENG 256M,directed,3
NUC ENG 260,NUC ENG 260,directed,3
NUC ENG 261M,NUC ENG 261M,directed,3
NUC ENG 262,NUC ENG 262,directed,3
NUC ENG 265,NUC ENG 265,directed,3
NUC ENG 267,NUC ENG 267,directed,3
NUC ENG 270,NUC ENG 270,directed,3
NUC ENG 275,NUC ENG 275,directed,3
NUC ENG 280,NUC ENG 280,directed,3
NUC ENG 281,NUC ENG 281,directed,3
NUC ENG C282,NUC ENG C282,directed,3
NUC ENG C285,NUC ENG C285,directed,3
NUC ENG 290A,NUC ENG 290A,directed,3
NUC ENG 290B,NUC ENG 290B,directed,3
NUC ENG 290C,NUC ENG 290C,directed,3
NUC ENG 290D,NUC ENG 290D,directed,3
NUC ENG 290E,NUC ENG 290E,directed,3
NUC ENG 290F,NUC ENG 290F,directed,3
NUC ENG 295,NUC ENG 295,directed,3
NUC ENG 298,NUC ENG 298,directed,3
NUC ENG 299,NUC ENG 299,directed,3
NUC ENG N299,NUC ENG N299,directed,3
NUC ENG 375,NUC ENG 375,directed,3
NUC ENG 602,NUC ENG 602,directed,3
