source,target,type,weight
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
MAT SCI 140,MAT SCI 140,directed,3
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
MAT SCI 140,MAT SCI 140,directed,3
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
MAT SCI 140,MAT SCI 140,directed,3
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
MAT SCI 140,MAT SCI 140,directed,3
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
