source,target,type,weight
PB HLTH 144B,PB HLTH 144B,directed,3
PB HLTH 145,PB HLTH 145,directed,3
PB HLTH 147,PB HLTH 147,directed,3
PB HLTH 150A,PB HLTH 150A,directed,3
PB HLTH 150B,PB HLTH 150B,directed,3
PB HLTH 150D,PB HLTH 150D,directed,3
PB HLTH 150E,PB HLTH 150E,directed,3
PB HLTH C155,PB HLTH C155,directed,3
PB HLTH C160,PB HLTH C160,directed,3
PB HLTH 162A,PB HLTH 162A,directed,3
PB HLTH 162L,PB HLTH 162L,directed,3
PB HLTH 170C,PB HLTH 170C,directed,3
PB HLTH 181,PB HLTH 181,directed,3
PB HLTH 188,PB HLTH 188,directed,3
PB HLTH H195A,PB HLTH H195A,directed,3
PB HLTH 196,PB HLTH 196,directed,3
PB HLTH 197,PB HLTH 197,directed,3
PB HLTH 198,PB HLTH 198,directed,3
PB HLTH 199,PB HLTH 199,directed,3
PB HLTH 14,PB HLTH 14,directed,3
PB HLTH 15,PB HLTH 15,directed,3
PB HLTH 84,PB HLTH 84,directed,3
PB HLTH 98,PB HLTH 98,directed,3
PB HLTH 99,PB HLTH 99,directed,3
PB HLTH 101,PB HLTH 101,directed,3
PB HLTH 104A,PB HLTH 104A,directed,3
PB HLTH 104B,PB HLTH 104B,directed,3
PB HLTH 107,PB HLTH 107,directed,3
PB HLTH W108,PB HLTH W108,directed,3
PB HLTH 112,PB HLTH 112,directed,3
PB HLTH N112,PB HLTH N112,directed,3
PB HLTH 116,PB HLTH 116,directed,3
PB HLTH C117,PB HLTH C117,directed,3
PB HLTH 118,PB HLTH 118,directed,3
PB HLTH 126,PB HLTH 126,directed,3
PB HLTH 129,PB HLTH 129,directed,3
PB HLTH 130,PB HLTH 130,directed,3
PB HLTH 141,PB HLTH 141,directed,3
PB HLTH 142,PB HLTH 142,directed,3
PB HLTH W142,PB HLTH W142,directed,3
PB HLTH 144A,PB HLTH 144A,directed,3
PB HLTH 144B,PB HLTH 144B,directed,3
PB HLTH 145,PB HLTH 145,directed,3
PB HLTH 147,PB HLTH 147,directed,3
PB HLTH 150A,PB HLTH 150A,directed,3
PB HLTH 150B,PB HLTH 150B,directed,3
PB HLTH 150D,PB HLTH 150D,directed,3
PB HLTH 150E,PB HLTH 150E,directed,3
PB HLTH C155,PB HLTH C155,directed,3
PB HLTH C160,PB HLTH C160,directed,3
PB HLTH 162A,PB HLTH 162A,directed,3
PB HLTH 162L,PB HLTH 162L,directed,3
PB HLTH 170C,PB HLTH 170C,directed,3
PB HLTH 181,PB HLTH 181,directed,3
PB HLTH 188,PB HLTH 188,directed,3
PB HLTH H195A,PB HLTH H195A,directed,3
PB HLTH 196,PB HLTH 196,directed,3
PB HLTH 197,PB HLTH 197,directed,3
PB HLTH 198,PB HLTH 198,directed,3
PB HLTH 199,PB HLTH 199,directed,3
