name,size,about
POL SCI 122A,1,The European Union is the world's most advanced experiment in governance beyond...
POL SCI 123,1,See department web site for specific course offerings....
POL SCI 123A,1,See department web site for specific course details....
POL SCI 123C,1,See department web site for specific course offerings....
POL SCI 123F,1,See department web site for specific course offerings....
POL SCI 123G,1,See department web site for specific course offerings....
POL SCI 123H,1,See department web site for specific course offerings....
POL SCI 123J,1,See department web site for specific course offerings....
POL SCI 123L,1,See department web site for specific course offerings....
POL SCI 123M,1,The goal of this class is to familiarize students with the various ways in whic...
POL SCI 123S,1,See department web site for specific course offerings....
POL SCI 123W,1,See department web site for specific course offerings....
POL SCI 123Y,1,See department web site for specific course offerings....
POL SCI 124A,1,"War, what is it good for? Absolutely nothing! Is this necessarily true? Wars ar..."
POL SCI 124B,1,This class begins with a historical overview of war in the region. The second p...
POL SCI 124C,1,Should nations intervene in other countries to prevent human rights abuses or f...
POL SCI 124M,1,The goal of this upper-level seminar is to familiarize students with the scient...
POL SCI 125,1,This course is designed to help you: (1) understand the existing theory and evi...
POL SCI 126A,1,Economic concepts in the study of international political behavior. Political c...
POL SCI 128,1,This course covers the history and analysis of Chinese foreign policy since the...
POL SCI 128A,1,Chinese foreign policy from the inception of the People's Republic of China in ...
POL SCI C131A,1,This course focuses on the sensible application of econometric methods to empir...
POL SCI 133,1,For more information see course description on department web site when course ...
POL SCI C135,1,"A non-technical introduction to game theory. Basic principle, and models of int..."
POL SCI W135,1,This course provides an introduction to game theory and its application in soci...
POL SCI 137A,1,"Theories of revolutionary violence, rebellion, and revolution. Strategies of re..."
POL SCI 138E,1,"This course examines the interaction between politics and markets, both in theo..."
POL SCI 138F,1,This course will examine international migration from a historical and comparat...
POL SCI 138G,1,"In the present era political, economic, and social organization powerfully infl..."
POL SCI 139B,1,Politics of economic development in developing countries. Comparative analysis ...
POL SCI 139D,1,"Over half of the world's population is now urban. As urban populations swell, m..."
POL SCI C139,1,"Over half of the world's population is now urban. As urban populations swell, m..."
POL SCI 140E,1,See department web site for specific course offerings....
POL SCI 140F,1,See department web site for specific course offerings....
POL SCI 140L,1,See department web site for specific course offerings....
POL SCI 140M,1,See department web site for specific course offerings....
POL SCI 140R,1,See department web site for specific course offerings....
POL SCI 140S,1,See department web site for specific course offerings....
POL SCI 140W,1,See department web site for specific course offerings....
POL SCI 140Z,1,See department web site for specific course offerings....
POL SCI 141A,1,This course presents a broad introduction to contemporary politics and society ...
POL SCI 141C,1,Modern politics and government in the states of Eastern Europe presented within...
POL SCI 142A,1,"The Middle East in world affairs, international relations and domestic policies..."
POL SCI 143A,1,"The structure and evolution of political institutions in China, and China's rel..."
POL SCI 143B,1,The structure and evolution of political institutions in Japan. Emphasis upon s...
POL SCI 143C,1,An overview of Chinese politics since the fall of the Qing Dynasty. Emphasis on...
POL SCI 143E,1,China's extraordinary growth has in some respects confirmed the power of free m...
POL SCI 143T,1,This course offers the opportunity to learn about contemporary Chinese politics...
POL SCI 144,1,This course is designed primarily for students interested in exploring in depth...
POL SCI 144B,1,An overview of modern Korea divided into the Republic of Korea and the Democrat...
POL SCI 145A,1,A comparative analysis of development and change in the political systems of co...
POL SCI 145B,1,A comparative analysis of development and change in the political systems of co...
POL SCI W145A,1,"This class focuses mostly on the ""domestic"" politics of India. In addition to p..."
POL SCI 146A,1,Introduction to politics in the states of contemporary sub-Saharan Africa. Comp...
POL SCI 146D,1,The course begins at the global level and moves to the local level in examining...
POL SCI N146C,1,Combining classroom lectures and discussion with visits to interesting and rele...
POL SCI 147F,1,"French political life has long gravitated around a ""Republican model"" marked by..."
POL SCI 147G,1,Comparision of welfare states in Western Europe and North America. Origins of w...
POL SCI 147T,1,"This course provides an introduction to German history, from ancient times to t..."
POL SCI 148A,1,"Political institutions, groups and parties in Latin American countries. Basic c..."
POL SCI 149,1,See department web site for specific course offerings....
POL SCI 149B,1,See department web site for specific course details....
POL SCI 149E,1,See department web site for specific course details....
POL SCI 149F,1,See department web site for specific course offerings....
POL SCI 149I,1,See department web site for specific course offerings....
POL SCI 149K,1,See department web site for specific course offerings....
POL SCI 149M,1,See department web site for specific course offerings....
POL SCI 149N,1,See department web site for specific course offerings....
POL SCI 149P,1,See department web site for specific course offerings....
POL SCI 149R,1,See department web site for specific course offerings....
POL SCI 149S,1,See department web site for specific course offerings....
POL SCI 149W,1,See department web site for specific course details....
POL SCI 150,1,"The nature of the American legal system; the interrelationships of judges, lawy..."
POL SCI 152A,1,"In contemporary democracies, law, courts, and other legal institutions (law enf..."
POL SCI 157A,1,"Fundamental principles of constitutional law, leading cases, causes, and conseq..."
POL SCI 157B,1,"Fundamental principles of constitutional law, leading cases, causes, and conseq..."
POL SCI 161,1,"The nature of public opinion, attitude formation, electoral turnout and choice;..."
POL SCI 164A,1,Personality factors in political behavior; psychological roots of decision-maki...
POL SCI N164A,1,This course explores the sources of political beliefs and actions through the a...
POL SCI 166,1,"This course provides a critical analysis of the political circumstances, politi..."
POL SCI 167,1,"Students will explore, discuss, and understand the relationship between racial/..."
POL SCI 167AC,1,Some of the most enduring and violent conflicts in America center on race. The ...
POL SCI 169,1,See departmental announcements....
POL SCI 171,1,"An inquiry into the political environment of the state--historical, economic, g..."
POL SCI 173S,1,This course examines the emergence and crisis of California's political economy...
POL SCI 175A,1,"The roles of various levels of government--local, regional, state, and national..."
POL SCI 179,1,"Political issues facing the state of California, the United States, or the inte..."
POL SCI 181,1,The methods used to manage the power of the bureaucracy in the American politic...
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 186,1,This course explores the way societies try to address and solve difficult and s...
POL SCI H190A,1,H190A is the first of a two-semester research seminar designed to provide suppo...
POL SCI H190B,1,H190B is the second of a two-semester research seminar designed to provide supp...
POL SCI 191,1,The seminars will generally be led by ladder-rank faculty members in the subfie...
POL SCI 196,1,Independent study of an advanced topic resulting in a substantial research pape...
POL SCI 196S,1,This seminar will introduce students to the theory and practice of policy analy...
POL SCI 196W,1,This research seminar will explore the workings of Congress and its role in mak...
POL SCI C196A,1,This course is the UCDC letter-graded core seminar for 4 units that complements...
POL SCI C196B,1,This course provides a credited internship for all students enrolled in the UCD...
POL SCI C196W,1,Students work in selected internship programs approved in advance by the facult...
POL SCI 197,1,Supervised experience relevant to specific aspects of Political Science in off-...
POL SCI 198,1,Submission of study proposal by faculty sponsor to the department chairman one ...
POL SCI 199,1,Enrollment is restricted by departmental regulation....
POL SCI 1,1,An introductory analysis of the structure and operations of the American politi...
POL SCI N1AC,1,Politics is the art and noise of collective governance under conditions of scar...
POL SCI 2,1,This course aims to furnish students with the tools needed to study politics an...
POL SCI N2,1,This course aims to furnish students with the tools necessary to study politica...
POL SCI 3,1,"Analytical and methodological problems of political inquiry, with an emphasis o..."
POL SCI N3,1,...
POL SCI W3,1,This course provides an overview of some of the methods employed in political s...
POL SCI 4,1,An approach to the understanding of politics through the perspectives and langu...
POL SCI 5,1,This course is designed to introduce students to the major theoretical approach...
POL SCI 18AC,1,This course will study the historical processes of racial formation and transfo...
POL SCI 39B,1,Freshman and sophomore seminars offer lower division students the opportunity t...
POL SCI 41,1,"Topics, experimental in nature, will vary from year to year...."
POL SCI C79,1,"Defining, perceiving, quantifying and measuring risk; identifying risks and est..."
POL SCI 98,1,Lectures and small group discussion focusing on topics of interest that vary fr...
POL SCI 99,1,"Supervised Independent Study and Research for lower division students, pursuant..."
POL SCI 102,1,"Analysis of principal institutions, functions, and problems of the Presidency a..."
POL SCI 103,1,"Nomination and election, constituent relations, the formal and informal structu..."
POL SCI 103W,1,This course will explore the Congress--the first branch under the Consititution...
POL SCI 104,1,The institutional environment within which American politics takes place. Conce...
POL SCI 105,1,"The nature of politics, the education of politicians, the structure of ambition..."
POL SCI 106A,1,An inside look at how political campaigns operate from the viewpoint of the med...
POL SCI 109,1,See department web site for specific course offerings....
POL SCI 109A,1,See department web site for specific course details....
POL SCI 109B,1,See department web site for specific course offerings....
POL SCI 109D,1,See department web site for specific course offerings....
POL SCI 109G,1,See department web site for specific course offerings....
POL SCI 109H,1,See department web site for specific course offerings....
POL SCI 109L,1,See department web site for specific course offerings....
POL SCI 109M,1,See department web site for specific course offerings....
POL SCI 109P,1,See department web site for specific course offerings....
POL SCI 109R,1,See department web site for specific course offerings....
POL SCI 109S,1,See department web site for specific course offerings....
POL SCI 109W,1,Topics will vary....
POL SCI 109Z,1,See department web site for specific course offerings....
POL SCI 110B,1,The purpose of this course is to provide Cal-in-Sacramento interns and other in...
POL SCI 111AC,1,"In this class, the revolution against traditional political authority embodied ..."
POL SCI 112A,1,Major theories from the ancient Greeks to the modern period. Ancient and mediev...
POL SCI 112B,1,"Early modern political thought up to the French Revolution, including Machiavel..."
POL SCI 112C,1,"Nineteenth and twentieth century political thought, including Burke, Utilitaria..."
POL SCI 112D,1,This is a survey course that will examine developments in 20th-century European...
POL SCI N112A,1,Major theories from the ancient Greeks to the modern period. Ancient and mediev...
POL SCI N113A,1,Basic problems of political theory as viewed within the context of American his...
POL SCI 114A,1,What is governance? How should we explain its emergence? What are its implicati...
POL SCI 116,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116A,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116B,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116C,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116D,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116E,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116F,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116G,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116H,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116I,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116J,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116K,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116L,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116M,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116N,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116O,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116P,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116Q,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116R,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116S,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116T,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116U,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116V,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116W,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116X,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116Y,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116Z,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 117,1,"Major perspectives in social and economic thought, e.g., natural law,natural ri..."
POL SCI 118AC,1,The course will examine three American cultural forms. The focus of the course ...
POL SCI 122A,1,The European Union is the world's most advanced experiment in governance beyond...
POL SCI 123,1,See department web site for specific course offerings....
POL SCI 123A,1,See department web site for specific course details....
POL SCI 123C,1,See department web site for specific course offerings....
POL SCI 123F,1,See department web site for specific course offerings....
POL SCI 123G,1,See department web site for specific course offerings....
POL SCI 123H,1,See department web site for specific course offerings....
POL SCI 123J,1,See department web site for specific course offerings....
POL SCI 123L,1,See department web site for specific course offerings....
POL SCI 123M,1,The goal of this class is to familiarize students with the various ways in whic...
POL SCI 123S,1,See department web site for specific course offerings....
POL SCI 123W,1,See department web site for specific course offerings....
POL SCI 123Y,1,See department web site for specific course offerings....
POL SCI 124A,1,"War, what is it good for? Absolutely nothing! Is this necessarily true? Wars ar..."
POL SCI 124B,1,This class begins with a historical overview of war in the region. The second p...
POL SCI 124C,1,Should nations intervene in other countries to prevent human rights abuses or f...
POL SCI 124M,1,The goal of this upper-level seminar is to familiarize students with the scient...
POL SCI 125,1,This course is designed to help you: (1) understand the existing theory and evi...
POL SCI 126A,1,Economic concepts in the study of international political behavior. Political c...
POL SCI 128,1,This course covers the history and analysis of Chinese foreign policy since the...
POL SCI 128A,1,Chinese foreign policy from the inception of the People's Republic of China in ...
POL SCI C131A,1,This course focuses on the sensible application of econometric methods to empir...
POL SCI 133,1,For more information see course description on department web site when course ...
POL SCI C135,1,"A non-technical introduction to game theory. Basic principle, and models of int..."
POL SCI W135,1,This course provides an introduction to game theory and its application in soci...
POL SCI 137A,1,"Theories of revolutionary violence, rebellion, and revolution. Strategies of re..."
POL SCI 138E,1,"This course examines the interaction between politics and markets, both in theo..."
POL SCI 138F,1,This course will examine international migration from a historical and comparat...
POL SCI 138G,1,"In the present era political, economic, and social organization powerfully infl..."
POL SCI 139B,1,Politics of economic development in developing countries. Comparative analysis ...
POL SCI 139D,1,"Over half of the world's population is now urban. As urban populations swell, m..."
POL SCI C139,1,"Over half of the world's population is now urban. As urban populations swell, m..."
POL SCI 140E,1,See department web site for specific course offerings....
POL SCI 140F,1,See department web site for specific course offerings....
POL SCI 140L,1,See department web site for specific course offerings....
POL SCI 140M,1,See department web site for specific course offerings....
POL SCI 140R,1,See department web site for specific course offerings....
POL SCI 140S,1,See department web site for specific course offerings....
POL SCI 140W,1,See department web site for specific course offerings....
POL SCI 140Z,1,See department web site for specific course offerings....
POL SCI 141A,1,This course presents a broad introduction to contemporary politics and society ...
POL SCI 141C,1,Modern politics and government in the states of Eastern Europe presented within...
POL SCI 142A,1,"The Middle East in world affairs, international relations and domestic policies..."
POL SCI 143A,1,"The structure and evolution of political institutions in China, and China's rel..."
POL SCI 143B,1,The structure and evolution of political institutions in Japan. Emphasis upon s...
POL SCI 143C,1,An overview of Chinese politics since the fall of the Qing Dynasty. Emphasis on...
POL SCI 143E,1,China's extraordinary growth has in some respects confirmed the power of free m...
POL SCI 143T,1,This course offers the opportunity to learn about contemporary Chinese politics...
POL SCI 144,1,This course is designed primarily for students interested in exploring in depth...
POL SCI 144B,1,An overview of modern Korea divided into the Republic of Korea and the Democrat...
POL SCI 145A,1,A comparative analysis of development and change in the political systems of co...
POL SCI 145B,1,A comparative analysis of development and change in the political systems of co...
POL SCI W145A,1,"This class focuses mostly on the ""domestic"" politics of India. In addition to p..."
POL SCI 146A,1,Introduction to politics in the states of contemporary sub-Saharan Africa. Comp...
POL SCI 146D,1,The course begins at the global level and moves to the local level in examining...
POL SCI N146C,1,Combining classroom lectures and discussion with visits to interesting and rele...
POL SCI 147F,1,"French political life has long gravitated around a ""Republican model"" marked by..."
POL SCI 147G,1,Comparision of welfare states in Western Europe and North America. Origins of w...
POL SCI 147T,1,"This course provides an introduction to German history, from ancient times to t..."
POL SCI 148A,1,"Political institutions, groups and parties in Latin American countries. Basic c..."
POL SCI 149,1,See department web site for specific course offerings....
POL SCI 149B,1,See department web site for specific course details....
POL SCI 149E,1,See department web site for specific course details....
POL SCI 149F,1,See department web site for specific course offerings....
POL SCI 149I,1,See department web site for specific course offerings....
POL SCI 149K,1,See department web site for specific course offerings....
POL SCI 149M,1,See department web site for specific course offerings....
POL SCI 149N,1,See department web site for specific course offerings....
POL SCI 149P,1,See department web site for specific course offerings....
POL SCI 149R,1,See department web site for specific course offerings....
POL SCI 149S,1,See department web site for specific course offerings....
POL SCI 149W,1,See department web site for specific course details....
POL SCI 150,1,"The nature of the American legal system; the interrelationships of judges, lawy..."
POL SCI 152A,1,"In contemporary democracies, law, courts, and other legal institutions (law enf..."
POL SCI 157A,1,"Fundamental principles of constitutional law, leading cases, causes, and conseq..."
POL SCI 157B,1,"Fundamental principles of constitutional law, leading cases, causes, and conseq..."
POL SCI 161,1,"The nature of public opinion, attitude formation, electoral turnout and choice;..."
POL SCI 164A,1,Personality factors in political behavior; psychological roots of decision-maki...
POL SCI N164A,1,This course explores the sources of political beliefs and actions through the a...
POL SCI 166,1,"This course provides a critical analysis of the political circumstances, politi..."
POL SCI 167,1,"Students will explore, discuss, and understand the relationship between racial/..."
POL SCI 167AC,1,Some of the most enduring and violent conflicts in America center on race. The ...
POL SCI 169,1,See departmental announcements....
POL SCI 171,1,"An inquiry into the political environment of the state--historical, economic, g..."
POL SCI 173S,1,This course examines the emergence and crisis of California's political economy...
POL SCI 175A,1,"The roles of various levels of government--local, regional, state, and national..."
POL SCI 179,1,"Political issues facing the state of California, the United States, or the inte..."
POL SCI 181,1,The methods used to manage the power of the bureaucracy in the American politic...
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 182AC,1,"This course explores the state of U.S. public education, particularly how succe..."
POL SCI 186,1,This course explores the way societies try to address and solve difficult and s...
POL SCI H190A,1,H190A is the first of a two-semester research seminar designed to provide suppo...
POL SCI H190B,1,H190B is the second of a two-semester research seminar designed to provide supp...
POL SCI 191,1,The seminars will generally be led by ladder-rank faculty members in the subfie...
POL SCI 196,1,Independent study of an advanced topic resulting in a substantial research pape...
POL SCI 196S,1,This seminar will introduce students to the theory and practice of policy analy...
POL SCI 196W,1,This research seminar will explore the workings of Congress and its role in mak...
POL SCI C196A,1,This course is the UCDC letter-graded core seminar for 4 units that complements...
POL SCI C196B,1,This course provides a credited internship for all students enrolled in the UCD...
POL SCI C196W,1,Students work in selected internship programs approved in advance by the facult...
POL SCI 197,1,Supervised experience relevant to specific aspects of Political Science in off-...
POL SCI 198,1,Submission of study proposal by faculty sponsor to the department chairman one ...
POL SCI 199,1,Enrollment is restricted by departmental regulation....
POL SCI 1,1,An introductory analysis of the structure and operations of the American politi...
POL SCI N1AC,1,Politics is the art and noise of collective governance under conditions of scar...
POL SCI 2,1,This course aims to furnish students with the tools needed to study politics an...
POL SCI N2,1,This course aims to furnish students with the tools necessary to study politica...
POL SCI 3,1,"Analytical and methodological problems of political inquiry, with an emphasis o..."
POL SCI N3,1,...
POL SCI W3,1,This course provides an overview of some of the methods employed in political s...
POL SCI 4,1,An approach to the understanding of politics through the perspectives and langu...
POL SCI 5,1,This course is designed to introduce students to the major theoretical approach...
POL SCI 18AC,1,This course will study the historical processes of racial formation and transfo...
POL SCI 39B,1,Freshman and sophomore seminars offer lower division students the opportunity t...
POL SCI 41,1,"Topics, experimental in nature, will vary from year to year...."
POL SCI C79,1,"Defining, perceiving, quantifying and measuring risk; identifying risks and est..."
POL SCI 98,1,Lectures and small group discussion focusing on topics of interest that vary fr...
POL SCI 99,1,"Supervised Independent Study and Research for lower division students, pursuant..."
POL SCI 102,1,"Analysis of principal institutions, functions, and problems of the Presidency a..."
POL SCI 103,1,"Nomination and election, constituent relations, the formal and informal structu..."
POL SCI 103W,1,This course will explore the Congress--the first branch under the Consititution...
POL SCI 104,1,The institutional environment within which American politics takes place. Conce...
POL SCI 105,1,"The nature of politics, the education of politicians, the structure of ambition..."
POL SCI 106A,1,An inside look at how political campaigns operate from the viewpoint of the med...
POL SCI 109,1,See department web site for specific course offerings....
POL SCI 109A,1,See department web site for specific course details....
POL SCI 109B,1,See department web site for specific course offerings....
POL SCI 109D,1,See department web site for specific course offerings....
POL SCI 109G,1,See department web site for specific course offerings....
POL SCI 109H,1,See department web site for specific course offerings....
POL SCI 109L,1,See department web site for specific course offerings....
POL SCI 109M,1,See department web site for specific course offerings....
POL SCI 109P,1,See department web site for specific course offerings....
POL SCI 109R,1,See department web site for specific course offerings....
POL SCI 109S,1,See department web site for specific course offerings....
POL SCI 109W,1,Topics will vary....
POL SCI 109Z,1,See department web site for specific course offerings....
POL SCI 110B,1,The purpose of this course is to provide Cal-in-Sacramento interns and other in...
POL SCI 111AC,1,"In this class, the revolution against traditional political authority embodied ..."
POL SCI 112A,1,Major theories from the ancient Greeks to the modern period. Ancient and mediev...
POL SCI 112B,1,"Early modern political thought up to the French Revolution, including Machiavel..."
POL SCI 112C,1,"Nineteenth and twentieth century political thought, including Burke, Utilitaria..."
POL SCI 112D,1,This is a survey course that will examine developments in 20th-century European...
POL SCI N112A,1,Major theories from the ancient Greeks to the modern period. Ancient and mediev...
POL SCI N113A,1,Basic problems of political theory as viewed within the context of American his...
POL SCI 114A,1,What is governance? How should we explain its emergence? What are its implicati...
POL SCI 116,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116A,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116B,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116C,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116D,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116E,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116F,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116G,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116H,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116I,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116J,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116K,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116L,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116M,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116N,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116O,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116P,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116Q,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116R,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116S,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116T,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116U,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116V,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116W,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116X,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116Y,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 116Z,1,"Intensive study of one topic, problem, or intellectual movement in political th..."
POL SCI 117,1,"Major perspectives in social and economic thought, e.g., natural law,natural ri..."
POL SCI 118AC,1,The course will examine three American cultural forms. The focus of the course ...
POL SCI 122A,1,The European Union is the world's most advanced experiment in governance beyond...
POL SCI 123,1,See department web site for specific course offerings....
POL SCI 123A,1,See department web site for specific course details....
POL SCI 123C,1,See department web site for specific course offerings....
POL SCI 123F,1,See department web site for specific course offerings....
POL SCI 123G,1,See department web site for specific course offerings....
POL SCI 123H,1,See department web site for specific course offerings....
POL SCI 123J,1,See department web site for specific course offerings....
POL SCI 123L,1,See department web site for specific course offerings....
POL SCI 123M,1,The goal of this class is to familiarize students with the various ways in whic...
POL SCI 123S,1,See department web site for specific course offerings....
POL SCI 123W,1,See department web site for specific course offerings....
POL SCI 123Y,1,See department web site for specific course offerings....
POL SCI 124A,1,"War, what is it good for? Absolutely nothing! Is this necessarily true? Wars ar..."
POL SCI 124B,1,This class begins with a historical overview of war in the region. The second p...
POL SCI 124C,1,Should nations intervene in other countries to prevent human rights abuses or f...
POL SCI 124M,1,The goal of this upper-level seminar is to familiarize students with the scient...
POL SCI 125,1,This course is designed to help you: (1) understand the existing theory and evi...
POL SCI 126A,1,Economic concepts in the study of international political behavior. Political c...
POL SCI 128,1,This course covers the history and analysis of Chinese foreign policy since the...
POL SCI 128A,1,Chinese foreign policy from the inception of the People's Republic of China in ...
POL SCI C131A,1,This course focuses on the sensible application of econometric methods to empir...
POL SCI 133,1,For more information see course description on department web site when course ...
POL SCI C135,1,"A non-technical introduction to game theory. Basic principle, and models of int..."
POL SCI W135,1,This course provides an introduction to game theory and its application in soci...
POL SCI 137A,1,"Theories of revolutionary violence, rebellion, and revolution. Strategies of re..."
POL SCI 138E,1,"This course examines the interaction between politics and markets, both in theo..."
POL SCI 138F,1,This course will examine international migration from a historical and comparat...
POL SCI 138G,1,"In the present era political, economic, and social organization powerfully infl..."
POL SCI 139B,1,Politics of economic development in developing countries. Comparative analysis ...
POL SCI 139D,1,"Over half of the world's population is now urban. As urban populations swell, m..."
POL SCI C139,1,"Over half of the world's population is now urban. As urban populations swell, m..."
POL SCI 140E,1,See department web site for specific course offerings....
POL SCI 140F,1,See department web site for specific course offerings....
POL SCI 140L,1,See department web site for specific course offerings....
POL SCI 140M,1,See department web site for specific course offerings....
POL SCI 140R,1,See department web site for specific course offerings....
POL SCI 140S,1,See department web site for specific course offerings....
POL SCI 140W,1,See department web site for specific course offerings....
POL SCI 140Z,1,See department web site for specific course offerings....
POL SCI 141A,1,This course presents a broad introduction to contemporary politics and society ...
POL SCI 141C,1,Modern politics and government in the states of Eastern Europe presented within...
POL SCI 142A,1,"The Middle East in world affairs, international relations and domestic policies..."
POL SCI 143A,1,"The structure and evolution of political institutions in China, and China's rel..."
POL SCI 143B,1,The structure and evolution of political institutions in Japan. Emphasis upon s...
POL SCI 143C,1,An overview of Chinese politics since the fall of the Qing Dynasty. Emphasis on...
POL SCI 143E,1,China's extraordinary growth has in some respects confirmed the power of free m...
POL SCI 143T,1,This course offers the opportunity to learn about contemporary Chinese politics...
POL SCI 144,1,This course is designed primarily for students interested in exploring in depth...
POL SCI 144B,1,An overview of modern Korea divided into the Republic of Korea and the Democrat...
POL SCI 145A,1,A comparative analysis of development and change in the political systems of co...
POL SCI 145B,1,A comparative analysis of development and change in the political systems of co...
POL SCI W145A,1,"This class focuses mostly on the ""domestic"" politics of India. In addition to p..."
POL SCI 146A,1,Introduction to politics in the states of contemporary sub-Saharan Africa. Comp...
POL SCI 146D,1,The course begins at the global level and moves to the local level in examining...
POL SCI N146C,1,Combining classroom lectures and discussion with visits to interesting and rele...
POL SCI 147F,1,"French political life has long gravitated around a ""Republican model"" marked by..."
POL SCI 147G,1,Comparision of welfare states in Western Europe and North America. Origins of w...
POL SCI 147T,1,"This course provides an introduction to German history, from ancient times to t..."
POL SCI 148A,1,"Political institutions, groups and parties in Latin American countries. Basic c..."
POL SCI 149,1,See department web site for specific course offerings....
POL SCI 149B,1,See department web site for specific course details....
POL SCI 149E,1,See department web site for specific course details....
POL SCI 149F,1,See department web site for specific course offerings....
POL SCI 149I,1,See department web site for specific course offerings....
POL SCI 149K,1,See department web site for specific course offerings....
POL SCI 149M,1,See department web site for specific course offerings....
POL SCI 149N,1,See department web site for specific course offerings....
POL SCI 149P,1,See department web site for specific course offerings....
POL SCI 149R,1,See department web site for specific course offerings....
POL SCI 149S,1,See department web site for specific course offerings....
POL SCI 149W,1,See department web site for specific course details....
POL SCI 150,1,"The nature of the American legal system; the interrelationships of judges, lawy..."
POL SCI 152A,1,"In contemporary democracies, law, courts, and other legal institutions (law enf..."
POL SCI 157A,1,"Fundamental principles of constitutional law, leading cases, causes, and conseq..."
POL SCI 157B,1,"Fundamental principles of constitutional law, leading cases, causes, and conseq..."
POL SCI 161,1,"The nature of public opinion, attitude formation, electoral turnout and choice;..."
POL SCI 164A,1,Personality factors in political behavior; psychological roots of decision-maki...
POL SCI N164A,1,This course explores the sources of political beliefs and actions through the a...
