name,size,about
MATH 197,1,For Math/Applied math majors. Supervised experience relevant to specific aspect...
MATH 198,1,Topics will vary with instructor....
MATH 198BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
MATH 199,1, ...
MATH 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
MATH 32,1,"Polynomial and rational functions, exponential and logarithmic functions, trigo..."
MATH N32,1,"Polynomial and rational functions, exponential and logarithmic functions, trigo..."
MATH 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
MATH 49,1,"Students with partial credit in lower division mathematics courses may, with co..."
MATH N55,1,"Logic, mathematical induction sets, relations, and functions. Introduction to g..."
MATH 91,1,Topics to be covered and the method of instruction to be used will be announced...
MATH 96,1,Elements of college algebra. Designed for students who do not meet the prerequi...
MATH 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
MATH 99,1,"Supervised independent study by academically superior, lower division students...."
MATH 127,1,Introduction to mathematical and computational problems arising in the context ...
MATH 151,1,"Theory of rational numbers based on the number line, the Euclidean algorithm an..."
MATH 189,1,"Topics in mechanics presented from a mathematical viewpoint: e.g., hamiltonian ..."
MATH 191,1,The topics to be covered and the method of instruction to be used will be annou...
MATH 195,1,"Lectures on special topics, which will be announced at the beginning of each se..."
MATH 196,1,Independent study of an advanced topic leading to an honors thesis....
MATH 197,1,For Math/Applied math majors. Supervised experience relevant to specific aspect...
MATH 198,1,Topics will vary with instructor....
MATH 198BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
MATH 199,1, ...
