source,target,type,weight
COM LIT 20A,COM LIT 20A,directed,3
COM LIT 20B,COM LIT 20B,directed,3
COM LIT 20C,COM LIT 20C,directed,3
COM LIT 24,COM LIT 24,directed,3
COM LIT 39H,COM LIT 39H,directed,3
COM LIT N40,COM LIT N40,directed,3
COM LIT 41A,COM LIT 41A,directed,3
COM LIT 41C,COM LIT 41C,directed,3
COM LIT 41D,COM LIT 41D,directed,3
COM LIT 41E,COM LIT 41E,directed,3
COM LIT N41A,COM LIT N41A,directed,3
COM LIT N41B,COM LIT N41B,directed,3
COM LIT N41C,COM LIT N41C,directed,3
COM LIT N41D,COM LIT N41D,directed,3
COM LIT 50,COM LIT 50,directed,3
COM LIT 60AC,COM LIT 60AC,directed,3
COM LIT N60AC,COM LIT N60AC,directed,3
COM LIT W60AC,COM LIT W60AC,directed,3
COM LIT 98,COM LIT 98,directed,3
COM LIT 98BC,COM LIT 98BC,directed,3
COM LIT 100,COM LIT 100,directed,3
COM LIT 100A,COM LIT 100A,directed,3
COM LIT 100B,COM LIT 100B,directed,3
COM LIT 100C,COM LIT 100C,directed,3
COM LIT 100D,COM LIT 100D,directed,3
COM LIT 112A,COM LIT 112A,directed,3
COM LIT 112B,COM LIT 112B,directed,3
COM LIT 120,COM LIT 120,directed,3
COM LIT 151,COM LIT 151,directed,3
COM LIT 152,COM LIT 152,directed,3
COM LIT 153,COM LIT 153,directed,3
COM LIT 154,COM LIT 154,directed,3
COM LIT 155,COM LIT 155,directed,3
COM LIT 156,COM LIT 156,directed,3
COM LIT 156AC,COM LIT 156AC,directed,3
COM LIT 165,COM LIT 165,directed,3
COM LIT 170,COM LIT 170,directed,3
COM LIT 171,COM LIT 171,directed,3
COM LIT 190,COM LIT 190,directed,3
COM LIT H195,COM LIT H195,directed,3
COM LIT 198,COM LIT 198,directed,3
COM LIT 198BC,COM LIT 198BC,directed,3
COM LIT 199,COM LIT 199,directed,3
COM LIT H1A,COM LIT H1A,directed,3
COM LIT H1B,COM LIT H1B,directed,3
COM LIT N1A,COM LIT N1A,directed,3
COM LIT N1B,COM LIT N1B,directed,3
COM LIT R1A,COM LIT R1A,directed,3
COM LIT R1B,COM LIT R1B,directed,3
COM LIT R2A,COM LIT R2A,directed,3
COM LIT R2B,COM LIT R2B,directed,3
COM LIT R3A,COM LIT R3A,directed,3
COM LIT R3B,COM LIT R3B,directed,3
COM LIT 20,COM LIT 20,directed,3
COM LIT 20A,COM LIT 20A,directed,3
COM LIT 20B,COM LIT 20B,directed,3
COM LIT 20C,COM LIT 20C,directed,3
COM LIT 24,COM LIT 24,directed,3
COM LIT 39H,COM LIT 39H,directed,3
COM LIT N40,COM LIT N40,directed,3
COM LIT 41A,COM LIT 41A,directed,3
COM LIT 41C,COM LIT 41C,directed,3
COM LIT 41D,COM LIT 41D,directed,3
COM LIT 41E,COM LIT 41E,directed,3
COM LIT N41A,COM LIT N41A,directed,3
COM LIT N41B,COM LIT N41B,directed,3
COM LIT N41C,COM LIT N41C,directed,3
COM LIT N41D,COM LIT N41D,directed,3
COM LIT 50,COM LIT 50,directed,3
COM LIT 60AC,COM LIT 60AC,directed,3
COM LIT N60AC,COM LIT N60AC,directed,3
COM LIT W60AC,COM LIT W60AC,directed,3
COM LIT 98,COM LIT 98,directed,3
COM LIT 98BC,COM LIT 98BC,directed,3
COM LIT 100,COM LIT 100,directed,3
COM LIT 100A,COM LIT 100A,directed,3
COM LIT 100B,COM LIT 100B,directed,3
COM LIT 100C,COM LIT 100C,directed,3
COM LIT 100D,COM LIT 100D,directed,3
COM LIT 112A,COM LIT 112A,directed,3
COM LIT 112B,COM LIT 112B,directed,3
COM LIT 120,COM LIT 120,directed,3
COM LIT 151,COM LIT 151,directed,3
COM LIT 152,COM LIT 152,directed,3
COM LIT 153,COM LIT 153,directed,3
COM LIT 154,COM LIT 154,directed,3
COM LIT 155,COM LIT 155,directed,3
COM LIT 156,COM LIT 156,directed,3
COM LIT 156AC,COM LIT 156AC,directed,3
COM LIT 165,COM LIT 165,directed,3
COM LIT 170,COM LIT 170,directed,3
COM LIT 171,COM LIT 171,directed,3
COM LIT 190,COM LIT 190,directed,3
COM LIT H195,COM LIT H195,directed,3
COM LIT 198,COM LIT 198,directed,3
COM LIT 198BC,COM LIT 198BC,directed,3
COM LIT 199,COM LIT 199,directed,3
